# Moho depth
# POINTS: 2001
0 4436.7
250 4436.88
500 4437.05
750 4437.22
1000 4437.4
1250 4437.85
1500 4438.3
1750 4438.75
2000 4439.2
2250 4439.95
2500 4440.7
2750 4441.45
3000 4442.2
3250 4443.22
3500 4444.25
3750 4445.28
4000 4446.3
4250 4447.55
4500 4448.8
4750 4450.05
5000 4451.3
5250 4452.75
5500 4454.2
5750 4455.65
6000 4457.1
6250 4458.75
6500 4460.4
6750 4462.05
7000 4463.7
7250 4465.5
7500 4467.3
7750 4469.1
8000 4470.9
8250 4472.82
8500 4474.75
8750 4476.68
9000 4478.6
9250 4480.65
9500 4482.7
9750 4484.75
10000 4486.8
10250 4488.93
10500 4491.05
10750 4493.18
11000 4495.3
11250 4497.5
11500 4499.7
11750 4501.9
12000 4504.1
12250 4506.33
12500 4508.55
12750 4510.77
13000 4513
13250 4515.23
13500 4517.45
13750 4519.67
14000 4521.9
14250 4524.15
14500 4526.4
14750 4528.65
15000 4530.9
15250 4533.15
15500 4535.4
15750 4537.65
16000 4539.9
16250 4542.13
16500 4544.35
16750 4546.58
17000 4548.8
17250 4551
17500 4553.2
17750 4555.4
18000 4557.6
18250 4559.75
18500 4561.9
18750 4564.05
19000 4566.2
19250 4568.3
19500 4570.4
19750 4572.5
20000 4574.6
20250 4576.68
20500 4578.75
20750 4580.82
21000 4582.9
21250 4584.9
21500 4586.9
21750 4588.9
22000 4590.9
22250 4592.88
22500 4594.85
22750 4596.83
23000 4598.8
23250 4600.73
23500 4602.65
23750 4604.57
24000 4606.5
24250 4608.4
24500 4610.3
24750 4612.2
25000 4614.1
25250 4615.95
25500 4617.8
25750 4619.65
26000 4621.5
26250 4623.3
26500 4625.1
26750 4626.9
27000 4628.7
27250 4630.45
27500 4632.2
27750 4633.95
28000 4635.7
28250 4637.45
28500 4639.2
28750 4640.95
29000 4642.7
29250 4644.4
29500 4646.1
29750 4647.8
30000 4649.5
30250 4651.18
30500 4652.85
30750 4654.52
31000 4656.2
31250 4657.85
31500 4659.5
31750 4661.15
32000 4662.8
32250 4664.43
32500 4666.05
32750 4667.68
33000 4669.3
33250 4670.9
33500 4672.5
33750 4674.1
34000 4675.7
