# LAB depth
# POINTS: 2001
0 104540
250 104540
500 104540
750 104540
1000 104540
1250 104543
1500 104545
1750 104548
2000 104550
2250 104550
2500 104550
2750 104550
3000 104550
3250 104553
3500 104555
3750 104558
4000 104560
4250 104560
4500 104560
4750 104560
5000 104560
5250 104563
5500 104565
5750 104568
6000 104570
6250 104570
6500 104570
6750 104570
7000 104570
7250 104570
7500 104570
7750 104570
8000 104570
8250 104573
8500 104575
8750 104578
9000 104580
9250 104583
9500 104585
9750 104588
10000 104590
10250 104590
10500 104590
10750 104590
11000 104590
11250 104593
11500 104595
11750 104598
12000 104600
12250 104603
12500 104605
12750 104608
13000 104610
13250 104610
13500 104610
13750 104610
14000 104610
14250 104613
14500 104615
14750 104618
15000 104620
15250 104623
15500 104625
15750 104628
16000 104630
16250 104630
16500 104630
16750 104630
17000 104630
17250 104633
17500 104635
17750 104638
18000 104640
18250 104643
18500 104645
18750 104648
19000 104650
19250 104653
19500 104655
19750 104658
20000 104660
20250 104663
20500 104665
20750 104668
21000 104670
21250 104673
21500 104675
21750 104678
22000 104680
22250 104683
22500 104685
22750 104688
23000 104690
23250 104693
23500 104695
23750 104698
24000 104700
24250 104703
24500 104705
24750 104708
25000 104710
25250 104713
25500 104715
25750 104718
26000 104720
26250 104723
26500 104725
26750 104728
27000 104730
27250 104733
27500 104735
27750 104738
28000 104740
28250 104743
28500 104745
28750 104748
29000 104750
29250 104753
29500 104755
29750 104758
30000 104760
30250 104763
30500 104765
30750 104768
31000 104770
31250 104773
31500 104775
31750 104778
32000 104780
32250 104783
32500 104785
32750 104788
33000 104790
33250 104793
33500 104795
33750 104798
34000 104800
34250 104805
34500 104810
34750 104815
35000 104820
35250 104823
35500 104825
35750 104828
36000 104830
36250 104833
36500 104835
36750 104838
37000 104840
37250 104845
37500 104850
37750 104855
38000 104860
38250 104863
38500 104865
38750 104868
39000 104870
39250 104873
39500 104875
39750 104878
40000 104880
40250 104885
40500 104890
40750 104895
41000 104900
41250 104903
41500 104905
41750 104908
42000 104910
42250 104913
42500 104915
42750 104918
43000 104920
43250 104923
43500 104925
43750 104928
44000 104930
44250 104935
44500 104940
44750 104945
45000 104950
45250 104953
45500 104955
45750 104958
46000 104960
46250 104965
46500 104970
46750 104975
47000 104980
47250 104983
47500 104985
47750 104988
48000 104990
48250 104995
48500 105000
48750 105005
49000 105010
49250 105015
49500 105020
49750 105025
50000 105030
50250 105035
50500 105040
50750 105045
51000 105050
51250 105053
51500 105055
51750 105058
52000 105060
52250 105065
52500 105070
52750 105075
53000 105080
53250 105085
53500 105090
53750 105095
54000 105100
54250 105105
54500 105110
54750 105115
55000 105120
55250 105123
55500 105125
55750 105128
56000 105130
56250 105135
56500 105140
56750 105145
57000 105150
57250 105155
57500 105160
57750 105165
58000 105170
58250 105175
58500 105180
58750 105185
59000 105190
59250 105195
59500 105200
59750 105205
60000 105210
60250 105215
60500 105220
60750 105225
61000 105230
61250 105235
61500 105240
61750 105245
62000 105250
62250 105255
62500 105260
62750 105265
63000 105270
63250 105275
63500 105280
63750 105285
64000 105290
64250 105295
64500 105300
64750 105305
65000 105310
65250 105315
65500 105320
65750 105325
66000 105330
66250 105335
66500 105340
66750 105345
67000 105350
67250 105355
67500 105360
67750 105365
68000 105370
68250 105375
68500 105380
68750 105385
69000 105390
69250 105395
69500 105400
69750 105405
70000 105410
70250 105418
70500 105425
70750 105433
71000 105440
71250 105445
71500 105450
71750 105455
72000 105460
72250 105465
72500 105470
72750 105475
73000 105480
73250 105485
73500 105490
73750 105495
74000 105500
74250 105508
74500 105515
74750 105523
75000 105530
75250 105535
75500 105540
75750 105545
76000 105550
76250 105555
76500 105560
76750 105565
77000 105570
77250 105578
77500 105585
77750 105593
78000 105600
78250 105605
78500 105610
78750 105615
79000 105620
79250 105628
79500 105635
79750 105643
80000 105650
80250 105655
80500 105660
80750 105665
81000 105670
81250 105678
81500 105685
81750 105693
82000 105700
82250 105705
82500 105710
82750 105715
83000 105720
83250 105728
83500 105735
83750 105743
84000 105750
84250 105758
84500 105765
84750 105773
85000 105780
85250 105788
85500 105795
85750 105803
86000 105810
86250 105815
86500 105820
86750 105825
87000 105830
87250 105838
87500 105845
87750 105853
88000 105860
88250 105868
88500 105875
88750 105883
89000 105890
89250 105898
89500 105905
89750 105913
90000 105920
90250 105928
90500 105935
90750 105943
91000 105950
91250 105958
91500 105965
91750 105973
92000 105980
92250 105988
92500 105995
92750 106003
93000 106010
93250 106018
93500 106025
93750 106033
94000 106040
94250 106048
94500 106055
94750 106063
95000 106070
95250 106080
95500 106090
95750 106100
96000 106110
96250 106118
96500 106125
96750 106133
97000 106140
97250 106145
97500 106150
97750 106155
98000 106160
98250 106160
98500 106160
98750 106160
99000 106160
99250 106158
99500 106155
99750 106153
100000 106150
100250 106148
100500 106145
100750 106143
101000 106140
101250 106140
101500 106140
101750 106140
102000 106140
102250 106143
102500 106145
102750 106148
103000 106150
103250 106158
103500 106165
103750 106173
104000 106180
104250 106190
104500 106200
104750 106210
105000 106220
105250 106230
105500 106240
105750 106250
106000 106260
106250 106270
106500 106280
106750 106290
107000 106300
107250 106310
107500 106320
107750 106330
108000 106340
108250 106348
108500 106355
108750 106363
109000 106370
109250 106380
109500 106390
109750 106400
110000 106410
110250 106423
110500 106435
110750 106448
111000 106460
111250 106470
111500 106480
111750 106490
112000 106500
112250 106513
112500 106525
112750 106538
113000 106550
113250 106563
113500 106575
113750 106588
114000 106600
114250 106613
114500 106625
114750 106638
115000 106650
115250 106663
115500 106675
115750 106688
116000 106700
116250 106713
116500 106725
116750 106738
117000 106750
117250 106765
117500 106780
117750 106795
118000 106810
118250 106823
118500 106835
118750 106848
119000 106860
119250 106873
119500 106885
119750 106898
120000 106910
120250 106923
120500 106935
120750 106948
121000 106960
121250 106975
121500 106990
121750 107005
122000 107020
122250 107035
122500 107050
122750 107065
123000 107080
123250 107098
123500 107115
123750 107133
124000 107150
124250 107180
124500 107210
124750 107240
125000 107270
125250 107285
125500 107300
125750 107315
126000 107330
126250 107345
126500 107360
126750 107375
127000 107390
127250 107405
127500 107420
127750 107435
128000 107450
128250 107465
128500 107480
128750 107495
129000 107510
129250 107525
129500 107540
129750 107555
130000 107570
130250 107585
130500 107600
130750 107615
131000 107630
131250 107648
131500 107665
131750 107683
132000 107700
132250 107718
132500 107735
132750 107753
133000 107770
133250 107793
133500 107815
133750 107838
134000 107860
134250 107880
134500 107900
134750 107920
135000 107940
135250 107960
135500 107980
135750 108000
136000 108020
136250 108040
136500 108060
136750 108080
137000 108100
137250 108120
137500 108140
137750 108160
138000 108180
138250 108200
138500 108220
138750 108240
139000 108260
139250 108280
139500 108300
139750 108320
140000 108340
140250 108360
140500 108380
140750 108400
141000 108420
141250 108440
141500 108460
141750 108480
142000 108500
142250 108523
142500 108545
142750 108568
143000 108590
143250 108610
143500 108630
143750 108650
144000 108670
144250 108693
144500 108715
144750 108738
145000 108760
145250 108780
145500 108800
145750 108820
146000 108840
146250 108863
146500 108885
146750 108908
147000 108930
147250 108950
147500 108970
147750 108990
148000 109010
148250 109033
148500 109055
148750 109078
149000 109100
149250 109118
149500 109135
149750 109153
150000 109170
150250 109188
150500 109205
150750 109223
151000 109240
151250 109265
151500 109290
151750 109315
152000 109340
152250 109365
152500 109390
152750 109415
153000 109440
153250 109468
153500 109495
153750 109523
154000 109550
154250 109583
154500 109615
154750 109648
155000 109680
155250 109713
155500 109745
155750 109778
156000 109810
156250 109845
156500 109880
156750 109915
157000 109950
157250 109988
157500 110025
157750 110063
158000 110100
158250 110145
158500 110190
158750 110235
159000 110280
159250 110330
159500 110380
159750 110430
160000 110480
160250 110530
160500 110580
160750 110630
161000 110680
161250 110725
161500 110770
161750 110815
162000 110860
162250 110908
162500 110955
162750 111003
163000 111050
