# Surface topography
# POINTS: 2001
0 -680
250 -680
500 -680
750 -680
1000 -680
1250 -682.5
1500 -685
1750 -687.5
2000 -690
2250 -690
2500 -690
2750 -690
3000 -690
3250 -690
3500 -690
3750 -690
4000 -690
4250 -690
4500 -690
4750 -690
5000 -690
5250 -690
5500 -690
5750 -690
6000 -690
6250 -687.5
6500 -685
6750 -682.5
7000 -680
7250 -680
7500 -680
7750 -680
8000 -680
8250 -680
8500 -680
8750 -680
9000 -680
9250 -680
9500 -680
9750 -680
10000 -680
10250 -680
10500 -680
10750 -680
11000 -680
11250 -680
11500 -680
11750 -680
12000 -680
12250 -680
12500 -680
12750 -680
13000 -680
13250 -677.5
13500 -675
13750 -672.5
14000 -670
14250 -670
14500 -670
14750 -670
15000 -670
15250 -667.5
15500 -665
15750 -662.5
16000 -660
16250 -660
16500 -660
16750 -660
17000 -660
17250 -660
17500 -660
17750 -660
18000 -660
18250 -660
18500 -660
18750 -660
19000 -660
19250 -660
19500 -660
19750 -660
20000 -660
20250 -660
20500 -660
20750 -660
21000 -660
21250 -657.5
21500 -655
21750 -652.5
22000 -650
22250 -650
22500 -650
22750 -650
23000 -650
23250 -647.5
23500 -645
23750 -642.5
24000 -640
24250 -640
24500 -640
24750 -640
25000 -640
25250 -640
25500 -640
25750 -640
26000 -640
26250 -637.5
26500 -635
26750 -632.5
27000 -630
27250 -630
27500 -630
27750 -630
28000 -630
28250 -627.5
28500 -625
28750 -622.5
29000 -620
29250 -617.5
29500 -615
29750 -612.5
30000 -610
30250 -610
30500 -610
30750 -610
31000 -610
31250 -607.5
31500 -605
31750 -602.5
32000 -600
32250 -600
32500 -600
32750 -600
33000 -600
33250 -597.5
33500 -595
33750 -592.5
34000 -590
34250 -587.5
34500 -585
34750 -582.5
35000 -580
35250 -580
35500 -580
35750 -580
36000 -580
36250 -577.5
36500 -575
36750 -572.5
37000 -570
37250 -567.5
37500 -565
37750 -562.5
38000 -560
38250 -557.5
38500 -555
38750 -552.5
39000 -550
39250 -547.5
39500 -545
39750 -542.5
40000 -540
40250 -537.5
